Size,Α μ.ο πράξεων ανά αναζήτηση,Β μ.ο πράξεων ανά εισαγωγή 1,C μ.ο πράξεων ανά διαγραφή,D μ.ο πράξεων ανά εισαγωγή 2,A μ.ο χρόνου ανά αναζήτηση,B μ.ο χρόνου ανά εισαγωγή 1,C μ.ο χρόνου ανά διαγραφή,D μ.ο χρόνου ανά εισαγωγή 2
30,10.8,135.3,36.0,61.0,73170.0,2460.0,1950.0,2600.0
50,16.8,294.8,47.2,88.7,75130.0,3220.0,3100.0,5190.0
100,22.1,947.2,103.2,156.5,94830.0,1180.0,3970.0,1180.0
200,21.7,3447.3,290.2,299.0,69730.0,1740.0,8360.0,1670.0
500,29.22,4586.54,506.36,811.88,78604.0,4990.0,13512.0,3798.0
800,31.1,10852.04,716.64,1194.78,81642.0,30070.0,11536.0,5140.0
1000,32.46,16648.7,1008.32,1523.22,71826.0,10660.0,4282.0,7266.0
5000,40.7,195315.15,5132.38,7476.54,66711.0,13808.0,18114.0,12621.0
10000,45.23,765843.62,10222.96,14982.93,72080.0,38260.0,53904.0,34523.0
50000,53.73,1.882093602E7,51093.2,75651.78,60363.0,205478.0,201376.0,185869.0
100000,56.34,7.508542818E7,94128.5,151644.43,64085.0,405442.0,323099.0,405893.0
