Size,Α μ.ο πράξεων ανά αναζήτηση,Β μ.ο πράξεων ανά εισαγωγή 1,C μ.ο πράξεων ανά διαγραφή,D μ.ο πράξεων ανά εισαγωγή 2,A μ.ο χρόνου ανά αναζήτηση,B μ.ο χρόνου ανά εισαγωγή 1,C μ.ο χρόνου ανά διαγραφή,D μ.ο χρόνου ανά εισαγωγή 2
30,13.4,139.4,43.6,51.1,73480.0,2760.0,2170.0,3080.0
50,19.1,289.8,68.4,86.4,74520.0,4210.0,2650.0,5340.0
100,19.2,955.8,135.6,159.8,88980.0,1220.0,4940.0,1510.0
200,25.5,3445.2,140.8,322.0,77670.0,1760.0,4750.0,1750.0
500,28.26,4621.98,538.4,774.54,74836.0,3528.0,14960.0,3410.0
800,31.2,10794.46,854.36,1184.6,75244.0,9416.0,13034.0,8618.0
1000,32.96,16585.02,1076.48,1589.46,72070.0,38234.0,4606.0,38044.0
5000,41.11,195290.77,5352.52,7248.3,68640.0,14033.0,22007.0,11864.0
10000,44.31,766179.24,10316.7,14875.68,81321.0,37857.0,67680.0,34545.0
50000,52.09,1.881951218E7,50681.62,74870.0,61821.0,195139.0,130029.0,182302.0
100000,56.21,7.508824622E7,93863.92,143926.86,67307.0,412477.0,272754.0,364733.0
