Size,Α μ.ο πράξεων ανά αναζήτηση,Β μ.ο πράξεων ανά εισαγωγή 1,C μ.ο πράξεων ανά διαγραφή,D μ.ο πράξεων ανά εισαγωγή 2,A μ.ο χρόνου ανά αναζήτηση,B μ.ο χρόνου ανά εισαγωγή 1,C μ.ο χρόνου ανά διαγραφή,D μ.ο χρόνου ανά εισαγωγή 2
30,43.0,20.1,39.0,5.0,3560.0,300.0,2490.0,340.0
50,63.2,30.1,45.2,5.0,2780.0,280.0,2740.0,310.0
100,143.4,55.1,79.6,4.5,5770.0,270.0,4200.0,310.0
200,351.8,105.1,159.4,5.0,13780.0,180.0,9040.0,120.0
500,703.2,54.72,444.76,4.9,27500.0,124.0,23680.0,96.0
800,1230.94,85.02,849.88,4.9,22896.0,110.0,18388.0,104.0
1000,1389.88,105.02,1052.44,5.0,5240.0,104.0,3708.0,100.0
5000,7198.17,255.01,4718.52,4.95,60060.0,93.0,22105.0,131.0
10000,14320.41,504.96,11467.28,5.0,65965.0,178.0,66986.0,83.0
50000,72072.54,2505.01,54930.86,5.0,332554.0,97.0,229362.0,137.0
100000,158958.56,5005.01,98561.44,5.0,697678.0,103.0,292653.0,144.0
