Size,Α μ.ο πράξεων ανά αναζήτηση,Β μ.ο πράξεων ανά εισαγωγή 1,C μ.ο πράξεων ανά διαγραφή,D μ.ο πράξεων ανά εισαγωγή 2,A μ.ο χρόνου ανά αναζήτηση,B μ.ο χρόνου ανά εισαγωγή 1,C μ.ο χρόνου ανά διαγραφή,D μ.ο χρόνου ανά εισαγωγή 2
30,47.6,19.6,33.6,4.5,4730.0,300.0,2180.0,330.0
50,74.6,30.1,42.0,5.0,3330.0,540.0,2260.0,990.0
100,156.0,54.6,93.4,5.0,6370.0,300.0,5060.0,330.0
200,252.8,104.6,247.0,5.0,10170.0,140.0,13240.0,160.0
500,727.52,54.82,468.4,4.7,29996.0,92.0,25546.0,104.0
800,1105.18,84.92,734.64,4.8,18272.0,120.0,16844.0,104.0
1000,1473.68,104.72,951.72,4.9,4748.0,94.0,3612.0,104.0
5000,7552.2,254.96,4559.44,4.95,66716.0,88.0,21695.0,123.0
10000,15503.36,505.01,9745.6,5.0,69921.0,168.0,66556.0,86.0
50000,75469.92,2505.01,54042.58,4.95,358298.0,96.0,230152.0,131.0
100000,161685.9,5005.01,85842.36,5.0,703779.0,113.0,315339.0,143.0
